BCS class,Hardness,floating lag time(sec),Drug release(%)
1,4.5,96,93.66
1,5,89,92.59
1,5.1,85,91.76
1,4.8,95,92.68
1,4.9,86,90.48
1,5.1,82,88.14
1,4.7,98,93.26
1,5.2,90,91.75
1,5.3,85,89.45
1,5.1,60,95.28
1,5.4,51,96.25
1,5.2,53,97.25
1,5.3,45,96.35
1,5.2,30,99.7
1,5.2,53,95.08
1,4.9,60,96.47
1,4.5,174,86.56
1,4.7,153,99.32
1,4.6,107,89.63
1,4.7,132,99.15
1,4.8,115,82.63
1,4.6,148,60.21
1,4.7,104,90.45
1,4.8,145,60.25
1,4.7,102,51.57
1,2.5,30,5.3159
1,3.8,15,12.181
1,4,7,8.5062
1,4,10,12.626
1,4.3,3,6.5795
1,3.9,13,9.6565
1,5,5,6.3556
1,5,53,9.546
1,4.5,18,12.376
1,4.5,71,62.63
1,4.6,143,63.57
1,4.5,112,53.68
1,4.8,168,56.27
1,4.8,112,68.52
1,4.5,102,58.67
1,4.5,102,47.58
1,4.6,275,55.28
1,4.9,265,45.57
1,5,272,43.36
1,4.9,266,43.39
1,4.8,266,49.58
1,5.2,60,99.89672
1,5.4,180,97.328
1,5.2,120,95.16754
1,5.4,240,77.52278
1,5.3,120,97.89672
1,5.2,180,91.94232
1,5.3,180,89.56632
1,5.5,240,77.41208
2,4.7,1800,37.71
2,4.4,15,42.97
2,4.5,80,27.07
2,4.5,48,32.84
2,4.5,40,33.8
2,4.3,35,27.44
2,4.2,35,27.73
2,4.5,20,26.7
2,4.6,15,25.51
2,4.7,1450,94.49
2,4.5,77,94.49
2,4.5,15,40.28
2,4.3,15,38.1
2,6.9,34,35.47
2,7.2,50,34.31
2,6.6,30,31.82
2,6.8,38,42.09
2,7.2,32,25.39
2,7.1,25,45.89
2,7.3,37,26.42
2,7.3,36,43.54
2,7.1,33,37.64
2,6.5,100,49
2,6.7,120,42
2,7.2,156,30
2,7.5,190,23
2,6.9,167,38
2,5.4,40,36.48
2,5.5,66,34.33
2,5.5,50,37.44
2,5.5,68,38.48
2,5.5,33,39
2,5.9,48,34.9
2,5.4,85,36.3
2,5.5,60,32.46
2,5.5,60,36.47
2,5.5,64,38.92
2,5.6,70,37.1
2,7,30,66.25
2,7.1,60,65.54
2,7.3,90,52.49
2,6.8,45,55.65
2,6.9,80,55.144
2,6.9,90,50.25
2,7.5,110,42.65
2,7.2,123,40.25
2,7.4,142,52.25
2,5.5,22,41.64
2,6,26,29.59
2,6,39,29.06
2,5.5,51,36.78
2,6.8,60,27.04
2,6.5,55,30.77
2,6,60,36.47
2,5.9,54,41.58
2,5.6,45,46.02
2,4.8,38,49.32
2,5.7,29,58.06
2,5.5,25,59.22
2,5.6,20,61.05
2,10.3,76,95
2,10.5,83,97
2,10.6,105,82
2,10.9,64,74
2,10.4,83,92
2,10.6,104,86
2,10.8,112,79
2,10.9,119,76
2,4.5,30,72.6
2,5,120,37.1
2,4.5,40,46.3
2,5,75,44.3
2,5.5,240,44.8
2,4.3,92,63.2
2,4.2,105,54.3
2,4.7,105,58.6
2,5.5,90,55.7
2,4.3,172,58.6
2,4.9,114,55.7
2,3.7,53,64.89
2,3.6,57,70.45
2,3.4,54,72.45
2,3.5,30,70.87
2,3.5,21,63.21
2,3.6,29,72.45
2,4.8,86,59
2,4.3,77,56
2,4.2,64,54
2,5.6,84,56
2,5.6,73,52
2,5.9,62,46
2,5.9,58,24
2,5.3,63,31
2,5.2,60,48
2,5.2,54,39
2,5.1,110,99.12
2,5.2,120,98.85
2,5.1,115,98.22
2,5.3,123,98.81
2,5.2,113,98.85
2,5.4,112,92.45
2,5.2,110,93.47
2,5.1,129,88.98
2,5.2,110,72.32
2,1,18,97.38
2,1,12,94.02
2,1,15,76.77
2,2,30,68.14
2,2,33,55.2
2,4.8,32,27.91
2,4.7,69,36.67
2,4.2,42,28.68
2,4.5,65,31.48
2,4.3,47,34.46
2,4.4,53,26.37
2,4.7,40,47.26
2,6,63,57.4
2,5.5,50,45.5
2,6,55,46.5
2,6,56,94.1
2,5.5,42,58
2,6,49,72.7
2,6,120,98
2,5.5,40,59.2
2,6,120,82
2,8.1,180,96.5
2,7.5,280,94.1
2,6.9,310,95.4
2,7.2,360,81.35
2,8.9,65,98.21
2,7.5,160,84.7
2,8.5,45,97.4
2,7.5,25,98.4
2,7.2,40,96.2
2,2.9,25,65.4
2,3.5,40,85.3
2,3.9,35,88.9
2,4.5,50,93.2
2,4.8,35,96.2
2,5.6,50,94.2
2,6.5,68,40.53
2,6.5,68,39.12
2,7,67,36.44
2,7,67,34.98
2,7.5,40,33.17
2,1.5,40,97.48
2,1.5,42,94.08
2,2,30,76.03
2,2.5,17,65.18
2,1.5,40,55.32
2,4.5,30,74.35
2,4.6,36,76.45
2,4.6,47,77.15
2,3.9,27,75.37
2,4,42,77.38
2,4.2,45,77.05
2,3.7,22,78.55
2,3.8,26,80.44
2,4.1,44,81.19
2,4.5,22,72.25
2,4.4,300,81.422
2,3.6,100,92.541
2,3.6,150,79.022
2,4.2,50,80.212
2,3.5,120,85.411
2,4.3,150,88.922
2,4.2,180,84.721
2,4,160,87.671
2,3.7,100,86.671
2,2.9,200,87.922
2,3.5,230,82.232
2,3,240,81.711
2,3.9,100,83.212
2,3.7,210,85.521
2,3.9,250,83.452
2,3.8,260,83.252
2,3.6,250,82.592
2,3.9,260,82.952
2,3.4,250,83.582
2,3.5,260,83.442
3,4.8,24,60.05
3,5,34,44.34
3,4.8,73,39.34
3,5.4,101,60.05
3,5.5,16,59.09
3,5.2,46,60.05
3,5.4,117,60.05
3,5,72,60.05
3,4.9,31,49.34
3,4.8,52,60.05
3,4.6,75,95.8
3,4.7,540,85.14
3,4.6,135,81.76
3,4.3,105,99.35
3,4.4,58,98.76
3,4.5,210,79.94
3,4.3,430,85.64
3,4.3,370,96.69
3,5.1,27,42.33
3,5.9,23,45.7
3,6.5,20,48.5
3,5.6,33,39.31
3,6.4,39,35.09
3,6.1,50,29.7
3,6.1,19,49.88
3,5.3,24,57.78
3,4.9,2100,76.74
3,4.4,1800,76.84
3,4.9,1380,83.13
3,4.8,480,84.65
3,5,360,85.83
3,5,600,62.56
3,5,480,74.67
3,4.9,360,71.55
3,4.7,960,90.18
3,4.7,660,95.43
3,4.8,300,62.37
3,4.7,120,68.34
3,5,240,69.02
3,4.9,480,59.34
3,4.9,480,58.67
3,4.7,420,57.23
3,4.9,180,69.45
3,4.5,120,69.23
3,4.4,60,69.99
3,5.2,300,66.71
3,5.3,240,78.67
3,5.2,240,88.16
3,5,240,94.32
3,5.8,300,100.51
3,4.9,240,93.57
3,5.3,360,90.99
3,5.6,360,88.88
3,5.1,300,80.01
3,5,300,92.98
3,5.2,300,83.54
3,5.9,360,80.34
3,5.1,3600,65.21
3,5.1,3650,100.61
3,5.1,3678,100.12
3,5,3685,100.61
4,3.5,12,99.82
4,4.5,30,67.31
4,6.5,50,49.92
4,3.5,10,99.34
4,4.5,35,65.18
4,5.5,15,75.76
4,5,20,80.17
4,5.2,65,40.5
4,5,55,58.5
4,4.8,43,72
4,5.2,69,63
4,4.8,72,36
4,5.2,62,40.5
4,5.2,56,45
4,5,67,40
4,4.6,21,89.81
4,7.7,27,85.12
4,7.7,23,87.27
4,5.3,24,84.88
4,5,22,91.22
4,7.9,4380,104.12
4,7,1080,60.23
4,5.6,159,100.11
4,4.1,13,83.34
4,2.8,1110,50.88
4,2.6,806,59.76
4,2.5,2147,47.53
4,2.7,1457,50.5
4,2.7,1298,60.38
4,2.7,2485,48.95
4,4.5,32,80.4
4,5.2,65,76.9
4,7.2,24,72.68
4,8,40,66.6
4,9.1,62,55.25
4,9,45,41.4
4,4.8,150,39.84
4,4.8,144,47.3
4,5.1,151,53.04
4,4.7,134,63.92
4,4.5,154,71.98
4,5,166,79.81
4,4.8,140,88.12
4,6.9,108,59.14
4,6.7,108,55.16
4,5.5,72,62.22
4,6,89,67.47
4,6,80,68.06
4,6.4,90,75.19
4,4.6,50,66.14
4,4.3,49,76.52
4,4.6,50,72.25
4,4.6,51,78.36
4,4.4,49,81.07
4,4.8,50,83.3
4,4.4,51,86.36
4,4,49,77.55
4,4,50,73.31
4,4.3,51,72.83
4,4.2,50,68.08
4,4.3,51,65.24
4,4.8,140,63.816
4,4.8,151,57.34
4,5.1,165,52.189
4,4.7,120,63.259
4,5.1,144,49.792
4,4.8,150,44.912
4,4.9,134,51.76
4,5,146,44.323
4,4.8,154,39.905
4,4.8,180,60.59
4,5.1,185,66
4,5,182,49.11
4,4.8,240,69.93
4,4.8,305,69.93
4,5.1,180,58.95
4,4.5,245,82.39
4,4.6,185,85.84
4,4.9,300,68.62
